ticker,et,model,called,p_tight,p_normal,p_expanded,p_explosive,actual,next_bar_move_atr
QQQ,11:00,6hp7l,TIGHT,0.674,0.269,0.028,0.029,NORMAL,0.657
QQQ,11:00,c49qf,TIGHT,0.653,0.253,0.067,0.026,NORMAL,0.657
QQQ,11:05,6hp7l,EXPLOSIVE,0.681,0.222,0.037,0.060,TIGHT,0.171
QQQ,11:05,c49qf,TIGHT,0.662,0.253,0.065,0.020,TIGHT,0.171
QQQ,11:10,6hp7l,EXPLOSIVE,0.695,0.211,0.032,0.061,TIGHT,0.195
QQQ,11:10,c49qf,TIGHT,0.663,0.257,0.061,0.018,TIGHT,0.195
QQQ,11:15,6hp7l,TIGHT,0.714,0.240,0.027,0.019,TIGHT,0.239
QQQ,11:15,c49qf,TIGHT,0.665,0.255,0.068,0.012,TIGHT,0.239
QQQ,11:20,6hp7l,TIGHT,0.688,0.255,0.032,0.025,TIGHT,0.033
QQQ,11:20,c49qf,TIGHT,0.662,0.258,0.068,0.012,TIGHT,0.033
QQQ,11:25,6hp7l,TIGHT,0.631,0.291,0.029,0.049,TIGHT,0.113
QQQ,11:25,c49qf,TIGHT,0.662,0.257,0.069,0.011,TIGHT,0.113
QQQ,11:30,6hp7l,TIGHT,0.587,0.331,0.036,0.046,NORMAL,0.755
QQQ,11:30,c49qf,TIGHT,0.664,0.253,0.071,0.012,NORMAL,0.755
QQQ,11:35,6hp7l,TIGHT,0.639,0.282,0.037,0.042,TIGHT,0.172
QQQ,11:35,c49qf,TIGHT,0.663,0.250,0.073,0.014,TIGHT,0.172
QQQ,11:40,6hp7l,TIGHT,0.637,0.275,0.039,0.049,TIGHT,0.474
QQQ,11:40,c49qf,TIGHT,0.669,0.246,0.070,0.015,TIGHT,0.474
QQQ,11:45,6hp7l,EXPLOSIVE,0.604,0.280,0.036,0.081,EXPLOSIVE,1.826
QQQ,11:45,c49qf,TIGHT,0.663,0.250,0.072,0.015,EXPLOSIVE,1.826
QQQ,11:50,6hp7l,EXPLOSIVE,0.460,0.330,0.078,0.131,EXPLOSIVE,2.431
QQQ,11:50,c49qf,EXPLOSIVE,0.601,0.263,0.081,0.055,EXPLOSIVE,2.431
QQQ,11:55,6hp7l,EXPLOSIVE,0.480,0.360,0.074,0.086,NORMAL,0.578
QQQ,11:55,c49qf,EXPLOSIVE,0.590,0.279,0.070,0.061,NORMAL,0.578
QQQ,12:00,6hp7l,EXPLOSIVE,0.703,0.183,0.020,0.093,TIGHT,0.026
QQQ,12:00,c49qf,EXPLOSIVE,0.609,0.259,0.067,0.064,TIGHT,0.026
QQQ,12:05,6hp7l,TIGHT,0.817,0.164,0.015,0.005,TIGHT,0.369
QQQ,12:05,c49qf,TIGHT,0.684,0.247,0.059,0.010,TIGHT,0.369
QQQ,12:10,6hp7l,TIGHT,0.815,0.149,0.027,0.009,TIGHT,0.328
QQQ,12:10,c49qf,TIGHT,0.687,0.244,0.058,0.010,TIGHT,0.328
QQQ,12:15,6hp7l,TIGHT,0.849,0.126,0.019,0.006,NORMAL,0.845
QQQ,12:15,c49qf,TIGHT,0.687,0.244,0.059,0.010,NORMAL,0.845
QQQ,12:20,6hp7l,TIGHT,0.883,0.090,0.021,0.006,TIGHT,0.011
QQQ,12:20,c49qf,TIGHT,0.689,0.243,0.058,0.011,TIGHT,0.011
QQQ,12:25,6hp7l,TIGHT,0.968,0.025,0.005,0.002,TIGHT,0.032
QQQ,12:25,c49qf,TIGHT,0.688,0.242,0.057,0.013,TIGHT,0.032
