ticker,strat_combo,vex_tercile,n,mean_bps,hit_pct
SPY,212_bear_continuation,HIGH,81,2.135583783127107,59.25925925925925
SPY,212_bear_continuation,LOW,83,-3.345202101110873,49.39759036144578
SPY,212_bear_continuation,MID,105,7.040111354861622,56.19047619047619
SPY,212_bear_reversal,HIGH,143,18.399301416672344,60.83916083916085
SPY,212_bear_reversal,LOW,150,13.045914058473222,59.333333333333336
SPY,212_bear_reversal,MID,148,-4.905694888227377,52.02702702702703
SPY,212_bull_continuation,HIGH,95,-4.531229374022299,45.26315789473684
SPY,212_bull_continuation,LOW,118,4.593838211777545,55.932203389830505
SPY,212_bull_continuation,MID,125,14.633086055145553,57.6
SPY,212_bull_reversal,HIGH,134,5.43490841312846,54.47761194029851
SPY,212_bull_reversal,LOW,165,15.54581407886315,57.57575757575758
SPY,212_bull_reversal,MID,178,10.464144662787527,56.74157303370787
SPY,22_bear_continuation,HIGH,624,4.681992853514887,53.68589743589743
SPY,22_bear_continuation,LOW,882,4.479099765551403,56.34920634920635
SPY,22_bear_continuation,MID,911,2.955312682686297,52.79912184412733
SPY,22_bear_reversal,HIGH,623,4.94977220813692,54.73515248796148
SPY,22_bear_reversal,LOW,760,-1.2039960109358965,51.31578947368421
SPY,22_bear_reversal,MID,887,3.680720579001537,55.12965050732808
SPY,22_bull_continuation,HIGH,968,4.207487715593497,55.47520661157025
SPY,22_bull_continuation,LOW,1214,2.799223712945914,54.94233937397035
SPY,22_bull_continuation,MID,1256,3.2454914182099475,55.254777070063696
SPY,22_bull_reversal,HIGH,614,1.2849130225588463,53.25732899022802
SPY,22_bull_reversal,LOW,771,-0.9451237746469942,52.78858625162128
SPY,22_bull_reversal,MID,848,4.145736254777171,55.07075471698113
SPY,312_bear_reversal,LOW,54,-0.5685666182535942,57.407407407407405
SPY,312_bear_reversal,MID,36,27.939325123041243,58.333333333333336
SPY,312_bull_reversal,HIGH,39,6.973915408951886,56.41025641025641
SPY,312_bull_reversal,LOW,77,16.5319907983475,63.63636363636363
SPY,312_bull_reversal,MID,68,-3.368790716633699,58.82352941176471
SPY,322_bear_continuation,HIGH,61,10.632917649133203,60.65573770491803
SPY,322_bear_continuation,LOW,104,5.380216247569377,52.88461538461539
SPY,322_bear_continuation,MID,83,5.3466730565026985,49.39759036144578
SPY,322_bull_continuation,HIGH,104,11.383089673566015,61.53846153846154
SPY,322_bull_continuation,LOW,114,5.865432596161634,61.40350877192983
SPY,322_bull_continuation,MID,136,12.34821613126895,63.23529411764706
SPY,32_bear_reversal,HIGH,31,14.39384570007062,77.41935483870968
SPY,32_bear_reversal,LOW,43,-1.8792257732389483,46.51162790697674
SPY,32_bear_reversal,MID,42,30.639167672983994,69.04761904761905
SPY,32_bull_reversal,HIGH,42,4.183268726113927,59.523809523809526
SPY,32_bull_reversal,LOW,48,-3.31995703670054,52.083333333333336
SPY,32_bull_reversal,MID,62,0.0056637445902161,59.67741935483871
SPY,clean_2d_bear,HIGH,73,5.276835403751631,61.64383561643836
SPY,clean_2d_bear,LOW,89,-1.4621777616042946,50.56179775280899
SPY,clean_2d_bear,MID,110,1.8140229452993568,58.18181818181818
SPY,clean_2u_bull,HIGH,99,15.638174426348408,57.57575757575758
SPY,clean_2u_bull,LOW,126,10.04952111058406,61.90476190476191
SPY,clean_2u_bull,MID,144,-5.716763406667393,54.16666666666666
SPY,f2d_bull_reversal,HIGH,38,-1.4291911045823211,57.89473684210527
SPY,f2d_bull_reversal,LOW,60,9.707907616774508,55.00000000000001
SPY,f2d_bull_reversal,MID,51,16.550130299788638,64.70588235294117
SPY,f2u_bear_reversal,HIGH,34,17.485510765669414,67.64705882352942
SPY,f2u_bear_reversal,LOW,59,4.7675954921212025,44.06779661016949
SPY,f2u_bear_reversal,MID,67,2.7573858271057934,62.68656716417911
SPY,none,HIGH,946,6.769006538535486,56.553911205074
SPY,none,LOW,1224,7.17338970868033,56.290849673202615
SPY,none,MID,1265,4.959709481893302,56.205533596837945
