ticker,strat_combo,dealer_regime,n,hit_pct,hit_ci_lo,hit_ci_hi,mean_bps,std_bps
QQQ,none,GEX_HIGH_VEX_HIGH,308,58.77,53.25,64.46,7.63,49.39
QQQ,none,GEX_HIGH_VEX_LOW,574,59.41,55.23,63.59,9.81,84.77
QQQ,none,GEX_HIGH_VEX_MID,302,56.62,50.99,61.92,-1.57,106.25
QQQ,none,GEX_LOW_VEX_HIGH,192,55.73,48.16,63.54,-8.81,130.05
QQQ,none,GEX_LOW_VEX_LOW,446,56.05,51.35,60.76,15.45,126.73
QQQ,none,GEX_LOW_VEX_MID,472,54.45,50.42,58.37,3.02,165.29
QQQ,none,GEX_MID_VEX_HIGH,666,60.36,56.76,64.26,14.24,86.1
QQQ,none,GEX_MID_VEX_LOW,116,51.72,43.1,60.34,-4.52,99.76
QQQ,none,GEX_MID_VEX_MID,371,55.26,50.4,60.25,2.98,116.73
SPY,212_bear_continuation,GEX_HIGH_VEX_LOW,36,52.78,36.11,69.44,2.72,55.87
SPY,212_bear_continuation,GEX_HIGH_VEX_MID,39,61.54,46.15,74.36,5.51,55.3
SPY,212_bear_continuation,GEX_LOW_VEX_HIGH,31,61.29,45.16,77.42,5.28,114.47
SPY,212_bear_continuation,GEX_LOW_VEX_LOW,30,40.0,23.33,56.67,-6.3,96.93
SPY,212_bear_continuation,GEX_MID_VEX_MID,37,59.46,43.24,75.68,19.73,100.12
SPY,212_bear_reversal,GEX_HIGH_VEX_HIGH,61,63.93,52.46,75.41,14.45,36.66
SPY,212_bear_reversal,GEX_HIGH_VEX_LOW,57,57.89,45.61,70.18,8.95,65.52
SPY,212_bear_reversal,GEX_HIGH_VEX_MID,40,42.5,27.5,60.0,-2.52,52.92
SPY,212_bear_reversal,GEX_LOW_VEX_HIGH,31,54.84,37.02,70.97,19.23,101.49
SPY,212_bear_reversal,GEX_LOW_VEX_LOW,60,56.67,43.33,68.33,13.36,79.62
SPY,212_bear_reversal,GEX_LOW_VEX_MID,50,52.0,38.0,64.0,8.44,172.27
SPY,212_bear_reversal,GEX_MID_VEX_HIGH,51,60.78,47.06,74.51,22.61,80.37
SPY,212_bear_reversal,GEX_MID_VEX_LOW,33,66.67,48.48,81.82,19.55,72.93
SPY,212_bear_reversal,GEX_MID_VEX_MID,58,58.62,44.83,70.69,-18.06,113.16
SPY,212_bull_continuation,GEX_HIGH_VEX_HIGH,44,56.82,43.18,70.45,12.66,31.68
SPY,212_bull_continuation,GEX_HIGH_VEX_LOW,43,51.16,37.21,65.12,-3.95,48.0
SPY,212_bull_continuation,GEX_HIGH_VEX_MID,49,53.06,40.82,67.35,5.69,61.57
SPY,212_bull_continuation,GEX_LOW_VEX_LOW,40,62.5,50.0,77.5,17.73,75.38
SPY,212_bull_continuation,GEX_LOW_VEX_MID,30,70.0,50.0,83.33,45.38,125.86
SPY,212_bull_continuation,GEX_MID_VEX_HIGH,33,42.42,25.68,60.61,-7.28,73.25
SPY,212_bull_continuation,GEX_MID_VEX_LOW,35,54.29,37.14,71.43,0.08,74.15
SPY,212_bull_continuation,GEX_MID_VEX_MID,46,54.35,41.3,67.39,4.11,87.1
SPY,212_bull_reversal,GEX_HIGH_VEX_HIGH,59,57.63,44.87,71.19,0.44,46.71
SPY,212_bull_reversal,GEX_HIGH_VEX_LOW,63,46.03,34.09,57.14,-9.0,52.61
SPY,212_bull_reversal,GEX_HIGH_VEX_MID,52,50.0,36.54,63.46,-3.89,73.56
SPY,212_bull_reversal,GEX_LOW_VEX_HIGH,37,62.16,45.95,79.8,21.25,68.02
SPY,212_bull_reversal,GEX_LOW_VEX_LOW,55,67.27,56.36,80.0,38.39,157.76
SPY,212_bull_reversal,GEX_LOW_VEX_MID,58,62.07,50.0,74.14,16.05,94.02
SPY,212_bull_reversal,GEX_MID_VEX_HIGH,38,42.11,26.32,57.89,-2.22,62.11
SPY,212_bull_reversal,GEX_MID_VEX_LOW,47,61.7,48.94,74.47,21.71,101.71
SPY,212_bull_reversal,GEX_MID_VEX_MID,68,57.35,44.12,67.65,16.68,97.53
SPY,22_bear_continuation,GEX_HIGH_VEX_HIGH,240,49.58,43.33,56.25,-5.33,55.61
SPY,22_bear_continuation,GEX_HIGH_VEX_LOW,254,58.27,52.76,64.57,3.86,56.92
SPY,22_bear_continuation,GEX_HIGH_VEX_MID,233,57.51,50.64,63.52,3.84,67.25
SPY,22_bear_continuation,GEX_LOW_VEX_HIGH,164,58.54,50.0,65.85,11.0,99.75
SPY,22_bear_continuation,GEX_LOW_VEX_LOW,398,57.29,52.63,62.56,7.74,113.09
SPY,22_bear_continuation,GEX_LOW_VEX_MID,335,53.43,48.06,58.51,-1.61,142.41
SPY,22_bear_continuation,GEX_MID_VEX_HIGH,220,54.55,47.73,61.36,10.89,105.97
SPY,22_bear_continuation,GEX_MID_VEX_LOW,230,52.61,46.52,58.49,-0.48,77.62
SPY,22_bear_continuation,GEX_MID_VEX_MID,343,48.98,44.02,53.95,6.81,132.24
SPY,22_bear_reversal,GEX_HIGH_VEX_HIGH,260,53.08,47.31,59.05,0.85,39.8
SPY,22_bear_reversal,GEX_HIGH_VEX_LOW,294,57.14,50.5,62.24,1.49,51.25
SPY,22_bear_reversal,GEX_HIGH_VEX_MID,303,55.45,49.83,61.23,1.88,62.28
SPY,22_bear_reversal,GEX_LOW_VEX_HIGH,155,51.61,43.87,59.69,13.14,110.77
