Time,Open,High,Low,Last,Change,%Chg,Volume,ATR14_W,RSI14_W,EMA9,EMA20,EMA50,VWAP,RVOL20,RVOL_MOD,RVOL_MOD_EXCL,OBV,StochRSI_K,StochRSI_D
2025-08-07 18:43:00,220.689,220.69,220.689,220.69,-0.0096,0.00%,3000.0,0.037038629343598875,53.520204912049174,220.70959236986056,220.68911376579175,220.57615195030013,219.89483353785974,2.9919218111100028,4.6282691742580075,5.653976630229928,89956.0,4.709452743326316,11.931572067465185
2025-08-07 18:44:00,220.67,220.67,220.67,220.67,-0.02,-0.01%,100.0,0.0358215843904854,50.87591091371148,220.70167389588846,220.68729340714492,220.57983226597463,219.89483612991327,0.10043185698503565,0.11375270162666364,0.1086832170232239,89856.0,3.139635162217544,9.000926432382638
2025-08-07 18:45:00,220.72,220.72,220.72,220.72,0.05,+0.02%,167.0,0.03683432836259439,56.64322536180688,220.70533911671077,220.69040832075018,220.58532903985798,219.89484073781531,0.16924246262984546,0.49554896142433236,0.47703801362337944,90023.0,9.953254716321291,9.318369193695522
2025-08-07 18:46:00,220.74,220.74,220.74,220.74,0.02,+0.01%,100.0,0.035631876336695525,58.73037834388917,220.71227129336862,220.69513133782158,220.5913945677067,219.89484356389022,0.10238034297414897,0.04754180882599698,0.044870716248808125,90123.0,17.34020937557705,11.992315920989364
2025-08-07 18:47:00,220.73,220.73,220.73,220.73,-0.01,0.00%,1000.0,0.03380102802693294,57.24649118714308,220.7158170346949,220.69845216279094,220.59683007485546,219.89487148922726,1.0032605969400552,1.2757136022962845,1.2996014555536302,89123.0,21.288581001637635,15.09107094787212
2025-08-07 18:48:00,220.82,220.82,220.82,220.82,0.09,+0.04%,150.0,0.03781524031072369,65.65670801047139,220.7366536277559,220.71002814728703,220.60558183662584,219.89487612926737,0.15317845289762574,0.33159947984395316,0.3183023872679045,89273.0,43.618224459693344,24.600122118479195
2025-08-07 18:50:00,220.81,220.83,220.81,220.83,0.01,0.00%,1000.0,0.03654272314567273,66.44650480961145,220.75532290220474,220.7214540380216,220.61438254891502,219.89490717313205,1.008827238335435,1.657066203740235,1.713355606956224,90273.0,62.41214963979556,37.20413129225131
2025-08-07 18:54:00,220.76,220.76,220.76,220.76,-0.07,-0.03%,235.0,0.03893252863526908,56.62911674379327,220.75625832176382,220.72512508201953,220.62009303719287,219.8949139705043,0.2512562814070352,0.686404673393521,0.6763053309579279,90038.0,53.92449109031196,42.77758455827152
2025-08-07 18:58:00,220.7601,220.7601,220.7601,220.7601,0.0001,0.00%,500.0,0.03615877658989296,56.63897295543907,220.75702665741107,220.7284560265891,220.62558350632258,219.89492843431472,0.5425641582117086,0.704579768495219,0.688924218335983,90538.0,48.2871521123619,44.61410707630165
2025-08-07 19:01:00,220.76,220.76,220.75,220.75,-0.0101,0.00%,638.0,0.03429743540490019,55.272727571758814,220.75562132592887,220.73050783358062,220.630462584506,219.8949467450937,0.9190435033131662,0.7763918466686949,0.7649880095923262,89900.0,41.60408503918699,43.61076639726343
