ticker,alert_kind,alert_direction,ftfc_prev_day_dir,vix_tercile,tod_bucket,regime,horizon,n,hit_rate,hit_rate_ci_lo,hit_rate_ci_hi,baseline_pct_up,lift_pp,mean_ret_bps,std_ret_bps,p_value,p_adj,reject
IWM,gamma_gate_break,CALL,UP,LOW,open,unknown,30m,29,55.172413793103445,37.93103448275862,72.41379310344827,51.2,3.972413793103442,10.978094844270405,45.043689057190946,0.6686763614486151,0.8710884225990795,False
IWM,gamma_gate_break,CALL,UP,LOW,open,unknown,60m,29,62.06896551724138,44.827586206896555,79.3103448275862,51.75,10.31896551724138,11.364914571284704,63.0530297254505,0.26610893595337437,0.5784585387371215,False
IWM,gamma_gate_break,CALL,UP,LOW,open,unknown,240m,29,51.724137931034484,34.48275862068966,68.96551724137932,52.28,-0.5558620689655172,7.766096629577154,79.60206438700041,0.9522109737116833,0.9810959818866655,False
IWM,gamma_gate_break,CALL,UP,LOW,open,unknown,1d,29,96.55172413793103,89.65517241379311,100.0,53.3,43.251724137931035,276.19413844578554,246.4813070204356,3.0335892127197894e-06,8.430556067907322e-05,True
IWM,gamma_gate_break,CALL,UP,LOW,open,unknown,5d,29,86.20689655172413,72.41379310344827,96.55172413793103,54.77,31.436896551724125,361.5094312220886,294.9912147888127,0.0006704877275474086,0.007704161869414935,True
IWM,gamma_gate_break,CALL,UP,MID,afternoon,unknown,5m,22,45.45454545454545,27.27272727272727,68.18181818181817,49.64,-4.185454545454547,-1.7048326548111374,12.14829277440324,0.6945849361600513,0.8830095730970865,False
IWM,gamma_gate_break,CALL,UP,MID,afternoon,unknown,15m,22,40.909090909090914,18.181818181818183,63.63636363636363,50.57,-9.660909090909087,0.9228942389400433,15.90609102143445,0.36475988810652327,0.6853585947913449,False
IWM,gamma_gate_break,CALL,UP,MID,afternoon,unknown,30m,22,54.54545454545454,31.818181818181817,77.27272727272727,51.2,3.345454545454537,0.15048705355551917,25.94327914289739,0.7535803742450145,0.909718952975454,False
IWM,gamma_gate_break,CALL,UP,MID,afternoon,unknown,60m,22,77.27272727272727,59.09090909090909,95.45454545454545,51.75,25.522727272727266,12.353737434684374,41.5426357865451,0.016588124367422852,0.09061602173869188,True
IWM,gamma_gate_break,CALL,UP,MID,afternoon,unknown,1d,22,86.36363636363636,68.18181818181817,100.0,53.3,33.06363636363636,205.96917556105635,178.87695033275327,0.0018808957207774313,0.01741444413986562,True
